name	taxonomy_id	taxonomy_lvl	SRR8146968_num	SRR8146968_frac	SRR8146978_num	SRR8146978_frac	SRR8146982_num	SRR8146982_frac	SRR8146938_num	SRR8146938_frac	SRR8146935_num	SRR8146935_frac	SRR8146936_num	SRR8146936_frac
Segatella hominis	2518605	S	2335	0.00014	92353	0.00384	1488	0.00010	19527	0.00073	25915	0.00116	1702728	0.07982
Segatella oris	28135	S	523	0.00003	915	0.00004	545	0.00004	0	0.00000	2497	0.00011	2587	0.00012
Segatella baroniae	305719	S	780	0.00005	8705	0.00036	606	0.00004	0	0.00000	4017	0.00018	11915	0.00056
Segatella bryantii	77095	S	154	0.00001	4978	0.00021	226	0.00002	0	0.00000	2672	0.00012	8688	0.00041
Hoylesella enoeca	76123	S	2914	0.00017	370	0.00002	2159	0.00015	497	0.00002	7865	0.00035	4311	0.00020
Hoylesella buccalis	28127	S	60608	0.00353	647	0.00003	71259	0.00494	298	0.00001	12500	0.00056	6700	0.00031
Paraprevotella xylaniphila	454155	S	1662	0.00010	415	0.00002	44434	0.00308	512	0.00002	175704	0.00783	1202	0.00006
Paraprevotella clara	454154	S	1082	0.00006	1642	0.00007	61432	0.00426	1303	0.00005	729214	0.03251	5449	0.00026
Xylanibacter ruminicola	839	S	1462	0.00009	571	0.00002	1970	0.00014	576	0.00002	4428	0.00020	4012	0.00019
Pseudoprevotella muciniphila	2133944	S	462	0.00003	49	0.00000	752	0.00005	0	0.00000	1053	0.00005	4586	0.00021
Butyricimonas virosa	544645	S	18898	0.00110	147	0.00001	48973	0.00339	2003	0.00007	9568	0.00043	158	0.00001
Butyricimonas paravirosa	1472417	S	21993	0.00128	28	0.00000	100803	0.00698	38725	0.00145	21758	0.00097	782	0.00004
Butyricimonas faecihominis	1472416	S	1944	0.00011	114	0.00000	16054	0.00111	6594	0.00025	4393	0.00020	1498	0.00007
Butyricimonas faecalis	2093856	S	1421	0.00008	1070	0.00004	6375	0.00044	1888	0.00007	8455	0.00038	8370	0.00039
Odoribacter splanchnicus	28118	S	35892	0.00209	17468	0.00073	150638	0.01043	48476	0.00181	26678	0.00119	9576	0.00045
