"species","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Prevotella dentalis",5117.14559355163,-0.756188429555408,1.17295924388325,0.135581630369808,0.542326521479233
"Wujia chipingensis",55910.6013420869,-0.579486872248304,1.16952281180952,0.137119765112861,0.543537807654583
"Bifidobacterium sp. ESL0764",6.77755196758517,0.222150760715605,1.05382329067596,0.139727832839408,0.548930771869103
"Prevotella sp. E13-17",1715.65434647992,-0.670825514597527,1.18028702166023,0.141410191471429,0.550623754402024
"Veillonella rogosae",1463.6410377987,-0.458727625546605,1.12843808794489,0.143500137170078,0.553860178551177
"Clostridium baratii",63.2560656608849,0.328361441797944,1.0838703251289,0.14637973086798,0.560061578973139
"Roseburia faecis",34328.925023843,-0.780300494941477,1.10306772375202,0.148576646706452,0.563566590955507
"Bacteroides sp. CG01",766.930408719914,0.768058208863121,1.1410396248496,0.154426512976255,0.579723166089572
"Parabacteroides faecis",850.514619621289,-0.775583030662407,1.05664236589898,0.160926469432256,0.579723166089572
"Prevotella histicola",879.98115367075,-0.531380784673322,1.13846985166526,0.161368532863339,0.579723166089572
"Porphyromonas gingivalis",621.084779364866,-0.798105976571751,0.915526044270589,0.163354643450448,0.579723166089572
"Ruminococcus sp. SR1/5",3761.98168782756,0.809304549813457,0.894762909518077,0.159704222675795,0.579723166089572
"Ruminococcus sp. JE7B6",545.566319342545,-0.787300337207893,1.04626041510336,0.159361822647752,0.579723166089572
"Blautia obeum",7067.49720087323,0.816379370085545,0.904395834382979,0.163438307609895,0.579723166089572
"Parabacteroides phage YZ-2015a",5.80836389736462,0.220536203828975,1.05295059930767,0.157306286704915,0.579723166089572
"Clostridium sp. deep sea",3.19271369711873,-0.213040862631452,1.05109396045207,0.164694081275447,0.579723166089572
"Faecalibacterium sp. 7",38515.7671269748,-0.70929386904507,1.09240993799046,0.169662413524782,0.592471920245272
"Blautia hansenii",1824.35524802981,-0.772942418405026,0.860072947924606,0.171755303309428,0.595057743749199
"Methanobrevibacter sp. DSM 116169",2.90246699738066,-0.212247641975661,1.05059781995515,0.17587472286038,0.604569359832555
"Bifidobacterium crudilactis",4.65310725700972,0.221159170669996,1.05267893551151,0.178720484961258,0.60494172032123
"Fusobacterium necrophorum",90.3078531222657,0.774103636355337,0.949173767918648,0.17881009907978,0.60494172032123
"Clostridium drakei",4.71929566660875,0.218394351961574,1.05178659221243,0.181482516096369,0.60494172032123
"Streptococcus intermedius",4.71929566660875,0.218394351961574,1.05178659221243,0.181482516096369,0.60494172032123
"Bacteroides caccae",114241.010115379,0.668012635959399,1.07173243093201,0.186081433020521,0.611013660664397
"Porphyromonas sp. oral taxon 275",422.554648119076,-0.747132410217317,0.929111710064917,0.185223491271771,0.611013660664397
"Prevotella sp. Rep29",1649.73854508986,-0.690889957419734,1.0355562964481,0.193823805592928,0.6141773753254
"Faecalibacterium duncaniae",58356.394765686,-0.685705645275283,1.00591989168122,0.194024216295979,0.6141773753254
"Clostridium saccharoperbutylacetonicum",42.5851453927943,0.41737021618935,1.09909084105325,0.19297767102187,0.6141773753254
"Bifidobacterium thermophilum",181.261324460058,-0.403255227436868,1.09305349282974,0.190804421430129,0.6141773753254
"Bifidobacterium sp. ESL0827",2.49580753336168,-0.210991720469981,1.04982078098255,0.193802341013596,0.6141773753254
"Parabacteroides johnsonii",12769.2229303469,0.624589622830231,1.11854236705717,0.195994716659385,0.61598339521521
"Prevotella denticola",5650.12161757133,-0.611073594730883,1.08125762390201,0.199834274682928,0.616387864063646
"Megasphaera stantonii",179.149909649714,-0.602002926211484,1.09391682348766,0.199667625089301,0.616387864063646
"Streptococcus constellatus",3.94204553216688,0.21681376155521,1.05091776144902,0.20172693732992,0.616387864063646
"Lactobacillus gasseri",3.94204553216688,0.21681376155521,1.05091776144902,0.20172693732992,0.616387864063646
"Bilophila wadsworthia",59311.2223413444,-0.508897063165995,1.09201237748706,0.2081511797393,0.631631166105463
"Bacteroides zhangwenhongii",34793.143192378,0.629226484060988,1.08746298139741,0.210453060950194,0.634242101493736
"Bacteroides caecimuris",5588.63237463977,0.646099490200944,1.03260067613952,0.220248137063593,0.647265066098007
"Tannerella forsythia",241.262981466444,-0.601577272890593,1.05672397106477,0.219241808370518,0.647265066098007
"Streptococcus lutetiensis",3.32501398890706,0.214680498845582,1.04975077310579,0.225071716165898,0.647265066098007
"Bifidobacterium choerinum",41.8432570491323,-0.422722138881098,1.08413647549094,0.221306367513731,0.647265066098007
"Bifidobacterium lemurum",3.33950266629465,0.21475681574814,1.04979239941094,0.224345614205319,0.647265066098007
"Clostridium thermarum",3.38877598379258,0.214969681302007,1.04990884857797,0.22214703435865,0.647265066098007
"Streptococcus acidominimus",3.3196172902458,0.214706553121866,1.04976452295772,0.225041564536393,0.647265066098007
"Phocaeicola vulgatus",740036.20226403,0.701904125674468,1.00593336228583,0.227057111026704,0.647661097922823
"Parabacteroides absconsus",9623.94745020236,0.481550901567554,1.03542950325103,0.228783345608734,0.647661097922823
"Tannerella serpentiformis",322.157520360123,-0.523430202680476,1.06623525481548,0.235862078792263,0.647661097922823
"Prevotella sp. oral taxon 475",1147.53874185732,-0.576182543647718,1.04431348645496,0.232597276989384,0.647661097922823
"Clostridium sp. BNL1100",3.04257192938475,0.213546993988782,1.04912785376196,0.237653219078072,0.647661097922823
"Eubacterium limosum",164.83076511439,0.664461128572617,0.901251786966083,0.235707222845228,0.647661097922823
"Blautia liquoris",104.507598869119,0.661211396612281,0.862885997120516,0.238457040598858,0.647661097922823
"Megasphaera massiliensis",80.1333799110744,-0.521405780318255,1.07329857654202,0.231823709821453,0.647661097922823
"Enterococcus sp. AZ170",3.1452835030202,0.2139533249073,1.04935166890169,0.233019225160787,0.647661097922823
"Akkermansia massiliensis",69.1702940590754,0.305175228752689,1.06143028615266,0.241637774648149,0.648798517096275
"Faecalibacterium sp. I3-3-89",181542.262786911,0.676041300756785,1.09160888084707,0.244407438360458,0.648798517096275
"Clostridium autoethanogenum",2.87568777418989,0.212727281567529,1.04867964705509,0.246248528079722,0.648798517096275
"Blautia sp. SC05B48",1255.45146592661,0.6474236057806,0.796805428941778,0.24592330146949,0.648798517096275
"Collinsella stercoris",4814.95462974,0.523474525314342,1.08520433183601,0.242858552229449,0.648798517096275
"Bacteroides sp. A1C1",48045.0033166381,-0.47795384354523,1.04547649233696,0.26173948676454,0.651780524395785
"Clostridium sp. OS1-26",82.0146380739671,-0.350800857905944,1.06349666829187,0.249224117107245,0.651780524395785
"Clostridium sp. JN-9",17.1410660855068,0.384036373140448,1.06482592397224,0.262193529131941,0.651780524395785
"Clostridium isatidis",45.4091157035764,0.494648082090835,1.05636570073614,0.26149534843994,0.651780524395785
"Streptococcus salivarius",2888.04872681305,-0.545454716560538,1.02399803038676,0.254524419133281,0.651780524395785
"Lactobacillus amylovorus",2.69595728830302,0.211798847999751,1.04817249302029,0.256093914244858,0.651780524395785
"Clostridium chauvoei",44.5875426312335,0.278522671254211,1.05291418599294,0.260701849394207,0.651780524395785
"Streptococcus hillyeri",2.62803035477792,0.211491804257293,1.04800354095951,0.25969884416398,0.651780524395785
"Streptococcus equi",20.553067979199,-0.207578179799842,1.04117718099787,0.258868026117344,0.651780524395785
"Lactobacillus ultunensis",2.69718904832471,0.211870730460562,1.04821084461927,0.255674349244814,0.651780524395785
"Faecalibacterium sp. IP-1-18",57162.7558899984,-0.553514457561053,0.980306751065587,0.264852772012353,0.654692245423794
"Streptococcus suis",153.464151280317,0.612281159787507,0.841243339508554,0.269714740033627,0.655660141518209
"Enterococcus sp. DIV0210g",2.48889179433656,0.210621418638793,1.04753001656149,0.268548915639213,0.655660141518209
"Fusobacterium pseudoperiodonticum",364.900163349086,0.252733454883703,1.04916745851414,0.266961184026269,0.655660141518209
"Enterococcus rotai",2.42055427413756,0.210244400717983,1.04732455962945,0.272724602259843,0.659334203265554
"Bacteroides sp. M10",8158.76876101636,-0.437728804695392,1.04250352193345,0.279259659693498,0.664185136568321
"Coprococcus catus",2568.30391670412,0.594749950888199,0.932230772591381,0.276990812457476,0.664185136568321
"Streptococcus ilei",99.0619584348136,-0.261059872647914,1.04577167531366,0.278558494610771,0.664185136568321
"Bacteroides salyersiae",6424.7945462916,-0.567547348982856,0.81336951803639,0.288825394159846,0.674050250142711
"Bacteroides cellulosilyticus",14189.2107699168,-0.490795277214499,1.0074006319495,0.28593240274167,0.674050250142711
"Faecalibacterium sp. I2-3-92",38040.2368704078,-0.513671895641952,0.942763623019041,0.292599085857404,0.674050250142711
"Clostridium sp. JN-1",2.15676583064242,0.208291339050453,1.04626976510488,0.292203186741552,0.674050250142711
"Collinsella sp. zg1085",26.0257163740007,0.367850561151885,1.05194074268999,0.290649106730778,0.674050250142711
"Bifidobacterium longum",22946.7716191095,0.514701979189885,0.999834884136685,0.28908972628276,0.674050250142711
"Escherichia coli",52068.563140588,0.453001695019433,1.00446382219519,0.295678690615555,0.676748919021376
"Bifidobacterium pullorum",68.228481251021,0.35313134717233,1.05075808450842,0.296846684934376,0.676748919021376
"Alistipes putredinis",1144048.27541422,-0.413500882663671,1.02439042040537,0.304830775234153,0.679142108533414
"Phocaeicola dorei",263861.728512208,-0.476464233169294,0.977695016670877,0.306127818238799,0.679142108533414
"Streptococcus iners",2.06690058769898,0.207564207216929,1.04587922993013,0.299456269906373,0.679142108533414
"Enterococcus durans",1.97703534475555,0.206782923864842,1.04546149343499,0.307156198928779,0.679142108533414
"Clostridium sp. 10cd*",2776.86868798304,0.215810147252377,1.04019117514468,0.309947204436512,0.679142108533414
"Fusobacterium gonidiaformans",48.4452352982277,0.258147524453727,1.04228973745403,0.309769875796886,0.679142108533414
"Fusobacterium hwasookii",53.7274041178414,0.201416880231144,1.03692637348849,0.307178884224629,0.679142108533414
"Streptococcus ratti",1.93644341931005,0.206518977281658,1.04531931265686,0.3102444632164,0.679142108533414
"Alistipes communis",197461.844254231,-0.429124449828721,0.975112441092844,0.324703642782799,0.67975491293552
"Bacteroides fragilis",157570.491823501,-0.451873394774669,0.98423530094617,0.316383025405242,0.67975491293552
"Bacteroides intestinalis",1741.52610173264,0.537925128097794,0.896265068553393,0.321506546467188,0.67975491293552
"Parabacteroides distasonis",234614.411060714,0.506976206316812,0.989251518470487,0.312724949547223,0.67975491293552
"Vescimonas fastidiosa",20027.0945310644,-0.500191327427508,0.938610969486122,0.318724291158925,0.67975491293552
"Clostridium sp. SY8519",580.037599230645,0.529800614668852,0.897545724978536,0.32597337870317,0.67975491293552
"Anaerobutyricum hallii",3279.14213754904,0.550263241682989,0.853807226284034,0.318418728844099,0.67975491293552
"Butyrivibrio proteoclasticus",115.139791932884,-0.512579455676365,0.923666711764606,0.320784128164935,0.67975491293552
"Slackia exigua",139.189562103683,0.542782956207213,0.8908070741456,0.31570907445563,0.67975491293552
"Bifidobacterium sp. ESL0728",1.79730485886868,0.205027189128584,1.04453089240293,0.324097088562399,0.67975491293552
"Bacteroides sp. HF-162",25788.2726698126,-0.428614975338486,0.989362206182924,0.335149074548633,0.684250007647206
"Bacteroides humanifaecis",38368.2419028702,-0.411628171274442,1.00359869571468,0.332516355757105,0.684250007647206
"Blautia wexlerae",11050.4518071191,0.529095168112751,0.772631231934664,0.335904549208629,0.684250007647206
"Clostridium butyricum",56.2683342576623,0.307842057809057,1.03810037972751,0.334431122888246,0.684250007647206
"Bifidobacterium sp. ESL0775",1.72896733866969,0.204411931831431,1.04420532931246,0.330516103497179,0.684250007647206
"Alistipes dispar",114368.151640723,-0.371170321202906,1.00736013214857,0.348046141797631,0.690854457888989
"Bacteroides sp. D2",4078.86200840175,-0.378220544110328,1.00812184131756,0.347853124902934,0.690854457888989
"Parabacteroides sp. ASD2025",2522.32507724401,-0.49385449465962,0.870183672314592,0.34379814445092,0.690854457888989
"Prevotella sp. E15-22",1739.72013276224,-0.353462140502903,1.01754164649792,0.347621472601811,0.690854457888989
"Enterococcus faecium",2130.72116320528,0.509097247937911,0.869102639561095,0.348567476480354,0.690854457888989
"Bifidobacterium catenulatum",555.749770427025,0.491222484517584,0.928380257046733,0.346659099982432,0.690854457888989
"Bacteroides sp. KG122",6318.38938222644,-0.176365625222859,1.02887242100871,0.351599424043953,0.693738773898382
"Coprococcus comes",4612.30013806206,0.483736785716658,0.920732335519415,0.358394634239349,0.703989460113007
"Enterococcus raffinosus",1.45233256448254,0.200890562831858,1.04237387021112,0.363283140360707,0.707276910436774
"Bifidobacterium sp. ESL0690",1.45233256448254,0.200890562831858,1.04237387021112,0.363283140360707,0.707276910436774
"Clostridium tagluense",1.43784388709495,0.200506444402772,1.04217962394331,0.366037245602224,0.709499506894178
"Alistipes senegalensis",40926.3487297598,-0.415813374586442,0.915894838102897,0.375382248235784,0.712155440041043
"Prevotella heparinolytica",514.140708541188,-0.45022176234301,0.801741186462697,0.391518001121938,0.712155440041043
"Prevotella fusca",1467.11044585923,-0.415301727676833,0.889516282799504,0.405755826703594,0.712155440041043
"Escherichia fergusonii",179.983173860754,-0.210453971276846,1.02247822783009,0.400936551602307,0.712155440041043
"Escherichia albertii",136.480933148646,-0.273559564586578,1.01420192796612,0.400060022652858,0.712155440041043
"Clostridium sp. MD294",37.2008440711063,0.393486484993114,0.979984547422124,0.385291122525652,0.712155440041043
"Clostridium sp.",1.16824815826464,0.195735205681974,1.03977906280936,0.407870842932597,0.712155440041043
"Clostridium intestinale",72.3498106440556,0.390571449910348,0.981801960164403,0.386472005999224,0.712155440041043
"Dorea formicigenerans",3310.85199855729,0.45429909615105,0.804614708281099,0.403743278852131,0.712155440041043
"Eisenbergiella porci",2778.64301366643,-0.434258013848912,0.845022051104914,0.399185792236629,0.712155440041043
"Dialister sp.",1158.17526901047,-0.31739974991333,1.00570739873019,0.388270452370546,0.712155440041043
"Dialister hominis",1237.02189478173,-0.390477406595555,0.958561127464176,0.39059588770671,0.712155440041043
"Streptococcus himalayensis",1.34797864415151,0.199099051152179,1.04145919355795,0.378756433901886,0.712155440041043
"Streptococcus nidrosiense",1.25811340120808,0.197501644481443,1.04065799132331,0.392635628159572,0.712155440041043
"Bifidobacterium adolescentis",63623.4438452045,0.345307649376301,0.98166509002502,0.398194554235276,0.712155440041043
"Bifidobacterium dentium",392.838004113321,-0.423572107869938,0.896417744454926,0.398681339806269,0.712155440041043
