"species","rab.all","rab.win.Omnivore","rab.win.Vegan","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"Xylanibacter ruminicola",8.61891507981606,9.8916761170375,7.45969349290329,-2.09805384147518,1.74302584675731,-1.16335130797579,0.130210178480212,0.148846460040873,1,0.0999999999999998,0.917849456424015
"Pseudoprevotella muciniphila",5.72667030436969,9.08495163746271,5.55596088402317,-3.58273242461012,2.79208531808749,-0.344069409378328,0.333333757183061,0.930727194581098,1,0.399999999999999,1
"Butyricimonas virosa",10.480853408154,9.96635833258198,10.9828024586668,1.01644049065098,4.11070240271714,0.209067420382725,0.4455959780921,0.822958379689204,1,1,1
"Butyricimonas paravirosa",11.6952301983768,13.453952741844,11.3657759067216,-2.20075562593207,6.45425982744369,-0.409789796888695,0.238342775047909,0.49505083736564,1,0.2,0.918840210596246
"Butyricimonas faecihominis",8.93856759957352,11.1478747219581,7.8607419472432,-2.31005159974053,2.57792129376978,-1.23657667564406,0.108810546268712,0.128626870474657,1,0.0999999999999998,0.917849456424015
"Butyricimonas faecalis",9.9271322758684,10.9543508442323,8.045951466636,-2.50354286269787,1.93029962245172,-1.53510539811781,0.119173013440157,0.0710322857205239,1,0.0929687499999998,0.853281257599936
"Odoribacter splanchnicus",13.1516652107303,13.7505769299951,12.6062909377559,-0.527350709029579,1.93979751974679,-0.227193855780488,0.450777313270224,0.844518657905464,1,0.700000000000002,1
"Sodaliphilus pleomorphus",10.1452313762891,9.62578727533656,10.6168136702333,-0.107546182911261,4.31985003699398,-0.0280088952012756,0.468750070918891,0.92004973625518,1,0.758593750000001,1
"Muribaculum gordoncarteri",8.93920958063132,8.32863286412263,9.48207305481771,1.15209830447858,2.78515094192018,0.340121392621255,0.455958648521652,0.743371846003233,1,1,1
"Muribaculum intestinale",7.38974464223183,8.2108681886901,6.18040357756606,-2.39557836130596,2.12060829755201,-1.09459843729269,0.108810546268712,0.185609556620133,1,0.0999999999999998,0.917849456424015
"Duncaniella dubosii",7.62766168306832,8.23753198511335,7.01138686316334,0.185878814394835,4.62213055747183,0.0424531641028943,0.455958648521652,0.963358748590114,1,1,1
"Paramuribaculum intestinale",7.14040739613856,7.47604259031864,5.59513895994738,-2.06823610087042,3.24588958669666,-0.704385699318389,0.202073572267362,0.268302086605314,1,0.2,0.918840210596246
"Porphyromonas pogonae",4.26929209695122,4.33369574336749,4.2427216816096,-0.259753482918482,2.42275662858882,-0.127982271637947,0.354167026979493,0.482815057596486,1,0.50390625,0.987428261645494
"Porphyromonas sp. oral taxon 275",6.77621264970451,6.92568858494178,4.75952314365405,-2.16423138018837,1.66860459004716,-1.13412593252657,0.217617507910972,0.175103211255607,1,0.19765625,0.918840210596246
"Porphyromonas cangingivalis",3.88938997814473,5.09398580997479,2.95394271491861,-2.06389236039536,3.07393394888214,-0.451005460038604,0.196892263794227,0.315838589117094,1,0.17109375,0.91871219837851
"Porphyromonas gingivalis",6.80384714494659,7.47277713692981,6.04042415715042,-1.7805136678244,0.832523241278129,-2.0852410368481,0.000365399848804012,0.0624663858502175,1,0,0
"Porphyromonas levii",4.27106171212947,4.25264225868446,4.28542436469899,0.291303084744571,2.71309616113812,0.114675943009884,0.375000301404768,0.601051176608989,1,0.861718750000001,1
"Porphyromonas endodontalis",2.90679042838637,3.3665205747315,2.63340435638932,-0.90098238419788,6.0315374754662,-0.157329188122424,0.395833579489825,0.819316594818518,1,0.56171875,1
"Porphyromonas crevioricanis",3.56173003669162,3.07814135604211,3.67401486372322,-0.085107765886363,7.50263955869917,-0.0094850150409198,0.492227996666188,0.887367502860659,1,0.881250000000001,0.999416641656663
"Porphyromonas somerae",3.10010639850171,3.00627702503708,3.17247207746653,-1.66248136178544,3.20470678945824,-0.355959109778041,0.41666686042708,0.423079666832751,1,0.616406250000001,0.99768444535989
"Porphyromonas asaccharolytica",5.20846131232508,5.30705718600909,2.8619322905314,-2.48912868229279,2.49158606735469,-0.63743020309626,0.333333757183061,0.633123217072733,1,0.399999999999999,1
"Macellibacteroides fermentans",4.5144224566527,6.48233324047793,4.43577122186278,-2.07158792651626,1.69177271527304,-0.888643594474099,0.248705415398428,0.328902428977398,1,0.2734375,0.948978757323003
"Proteiniphilum saccharofermentans",4.52684978714525,3.39000926142742,5.74873917997076,2.08815526887425,3.9840610923003,0.246542152460553,0.450777313270224,0.512825314349067,1,0.96484375,1
"Petrimonas mucosa",7.24652538739712,11.044199457642,4.73165407727992,-7.22046339768538,3.3514485324679,-2.29823919815064,0.000365399848804012,0.063883441252099,1,0,0
"Petrimonas sulfuriphila",-1.68411134085309,-3.87675049781041,2.20053285876509,5.35584002986896,4.14985202733275,1.20637447312781,0.104169063671829,0.169874971408222,1,0.24765625,1
